timestamp,date,no2,voc,pm10,pm2.5,no2plume,voc plume,pm10 plume,pm2.5 plume,pm1 ,pm1 plume
1691116627,04-08-2023 02:37,14,138,18.067282,15.5019655,13,11,18,31,8,20
1691116687,04-08-2023 02:38,14,134,22.2034,21.2034,13,11,22,42,15,37
1691116747,04-08-2023 02:39,15,133,17.813332,16.813332,14,11,18,34,12,31
1691116807,04-08-2023 02:40,15,132,13.916826,12.916826,14,11,14,26,11,28
1691116867,04-08-2023 02:41,14,132,16.25712,15.25712,13,11,16,31,11,28
1691116927,04-08-2023 02:42,15,135,18.063305,17.063305,14,11,18,34,11,29
1691116987,04-08-2023 02:43,15,134,19.083054,18.083054,14,11,19,36,10,25
1691117047,04-08-2023 02:44,15,132,18.34567,,14,11,0,0,,
1691117107,04-08-2023 02:45,15,134,17.030891,16.030891,14,11,17,32,11,26
1691117167,04-08-2023 02:46,15,132,15.705455,14.705455,0,11,16,29,14,34
1691117227,04-08-2023 02:47,16,134,18.801891,17.801891,15,11,19,36,14,36
1691117287,04-08-2023 02:48,16,133,20.407959,19.407959,15,0,20,39,9,21
1691117347,04-08-2023 02:49,16,133,15.632786,14.632786,15,11,16,29,10,26
1691117407,04-08-2023 02:50,16,130,20.268728,19.268728,15,10,20,39,15,37
1691117467,04-08-2023 02:51,16,131,14.38819,13.38819,16,10,14,27,9,22
1691117527,04-08-2023 02:52,16,129,12.370005,11.370005,16,10,12,23,10,26
1691117587,04-08-2023 02:53,16,132,17.781898,16.781898,16,11,18,34,11,27
1691117647,04-08-2023 02:54,16,133,12.814153,11.814153,15,11,13,24,10,25
1691117707,04-08-2023 02:55,16,136,14.947062,13.947062,15,11,15,28,11,27
1691117767,04-08-2023 02:56,16,131,11.171166,10.171166,0,10,11,20,9,23
1691117827,04-08-2023 02:57,16,132,11.712169,10.712169,16,11,12,21,10,24
1691117887,04-08-2023 02:58,16,132,14.930583,13.930583,16,11,15,28,11,28
1691117947,04-08-2023 02:59,16,134,15.927763,14.927763,16,11,16,30,10,26
1691118007,04-08-2023 03:00,16,127,15.932168,14.932168,16,10,16,30,10,26
1691118067,04-08-2023 03:01,16,130,14.606245,13.606245,15,10,15,27,9,22
1691118127,04-08-2023 03:02,16,132,17.413208,16.413208,16,11,17,33,11,29
1691118187,04-08-2023 03:03,16,132,11.302175,10.302175,0,11,11,21,9,23
1691118247,04-08-2023 03:04,16,131,15.323519,14.323519,16,10,15,29,13,33
1691118307,04-08-2023 03:05,16,129,16.45539,15.45539,16,10,16,31,11,27
1691118367,04-08-2023 03:06,16,129,16.921993,15.921994,16,10,17,32,10,26
1691118427,04-08-2023 03:07,17,129,13.624061,12.624061,16,10,14,25,10,26
1691118487,04-08-2023 03:08,16,125,10.669092,9.669092,16,10,11,19,7,19
1691118547,04-08-2023 03:09,17,127,15.141644,14.141644,16,10,15,28,10,24
1691118607,04-08-2023 03:10,17,127,15.759081,14.759081,16,10,16,30,6,16
1691118667,04-08-2023 03:11,17,129,14.111752,13.111752,16,10,14,26,11,27
1691118727,04-08-2023 03:12,17,128,14.835226,13.835226,16,10,15,28,8,21
1691118787,04-08-2023 03:13,17,127,21.196377,20.196377,16,10,21,40,12,30
1691118847,04-08-2023 03:14,17,127,9.022608,8.022608,16,10,9,16,6,15
1691118907,04-08-2023 03:15,17,129,20.293896,19.293896,16,10,20,39,11,29
1691118967,04-08-2023 03:16,17,128,20.774982,19.774982,16,10,21,40,12,31
1691119027,04-08-2023 03:17,17,130,14.325149,13.325149,16,10,14,27,11,26
1691119087,04-08-2023 03:18,17,131,17.19988,16.19988,16,10,17,32,11,27
1691119147,04-08-2023 03:19,18,129,14.59845,13.59845,17,10,15,27,13,31
1691119207,04-08-2023 03:20,17,127,18.480354,17.480354,16,10,18,35,10,26
1691119267,04-08-2023 03:21,17,128,16.557337,15.557337,16,10,17,31,11,27
1691119327,04-08-2023 03:22,17,129,22.309738,21.309738,16,10,22,43,11,27
